,mean_abs_shap
income_confidence,2.0356069
credit_score,1.9737852
amount_to_score_ratio,0.19978511
kyc_tier,0.1886482
income_agent_monthly_est,0.08807097
existing_loan_count,0.086976804
cooperative_monthly_sales,0.08512488
coop_coop_loan_repayment_status,0.061702434
has_cib_score,0.054589696
requested_amount_nrs,0.05397793
utility_avg_bill_nrs,0.03981156
income_to_loan_ratio,0.034974728
remittance_receiving,0.03191295
derived_income_est,0.031122597
elec_on_time_rate,0.02811301
coop_membership_status,0.026288526
lti_ratio,0.025574565
gender,0.023663165
credit_bureau_score,0.023272436
collateral_value_nrs,0.021872954
age,0.020993138
coop_last_annual_dividend_nrs,0.020134877
esewa_net_monthly,0.02004031
application_date_bs,0.019833582
municipality_en,0.019455561
remittance_monthly_avg,0.018630259
util_arrears_total_nrs,0.016010882
aml_flag,0.015565151
occupation_en,0.013877754
household_size,0.013759725
loan_purpose,0.013300659
esewa_tx_count_6months,0.013018626
ward_no,0.01272404
district_en,0.012133198
land_area_ropani,0.011912888
application_month,0.01120859
remittance_regularity_score,0.010411683
marital_status,0.010388694
province_en,0.010253627
cooperative_id,0.010170542
nrb_blacklist_flag,0.009574735
coop_tenure_years,0.008783614
coop_cooperative_type,0.008577809
overall_on_time_rate,0.007704531
requested_tenure_months,0.007278487
has_esewa_account,0.006956151
coop_share_count,0.006898925
rural_urban,0.0068372446
application_dayofweek,0.0066952254
coop_outstanding_loan_nrs,0.0064362744
coop_membership_year_bs,0.006135706
education_level,0.006061381
income_signal_count,0.0044762744
coop_total_share_value_nrs,0.0024419934
has_khalti_account,0.0022334515
tenure_was_imputed,0.001706632
phone_issue_flag,0.001268564
cooperative_member,0.0011866909
collateral_type,0.0009532808
has_alt_score,0.0
